name,type,sponsoring_org,dates,iana_url
.blanco,generic,BLANCO GmbH + Co KG,"Record last updated 2016-06-22.Registration date 2016-06-03.",https://www.iana.org/domains/root/db/blanco.html
.blockbuster,generic,Dish DBS Corporation,"Record last updated 2016-08-04.Registration date 2016-06-30.",https://www.iana.org/domains/root/db/blockbuster.html
.blog,generic,"Knock Knock WHOIS There, LLC","Record last updated 2016-06-28.Registration date 2016-05-12.",https://www.iana.org/domains/root/db/blog.html
.bloomberg,generic,Bloomberg IP Holdings LLC,"Record last updated 2016-02-22.Registration date 2014-10-16.",https://www.iana.org/domains/root/db/bloomberg.html
.blue,generic,Afilias Limited,"Record last updated 2014-02-05.Registration date 2014-01-23.",https://www.iana.org/domains/root/db/blue.html
.bm,country-code,"Registry General Department, Ministry of Home Affairs","Record last updated 2016-08-17.Registration date 1993-03-31.",https://www.iana.org/domains/root/db/bm.html
.bms,generic,Bristol-Myers Squibb Company,"Record last updated 2016-02-22.Registration date 2015-09-10.",https://www.iana.org/domains/root/db/bms.html
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,"Record last updated 2016-01-26.Registration date 2014-06-05.",https://www.iana.org/domains/root/db/bmw.html
.bn,country-code,Brunei Darussalam Network Information Centre Sdn Bhd (BNNIC),"Record last updated 2015-05-06.Registration date 1994-06-03.",https://www.iana.org/domains/root/db/bn.html
.bnl,generic,Banca Nazionale del Lavoro,"Record last updated 2015-06-27.Registration date 2015-06-11.",https://www.iana.org/domains/root/db/bnl.html
.bnpparibas,generic,BNP Paribas,"Record last updated 2014-08-14.Registration date 2014-07-31.",https://www.iana.org/domains/root/db/bnpparibas.html
.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,"Record last updated 2016-08-05.Registration date 1991-02-26.",https://www.iana.org/domains/root/db/bo.html
.boats,generic,"DERBoats, LLC","Record last updated 2015-03-13.Registration date 2015-02-13.",https://www.iana.org/domains/root/db/boats.html
.boehringer,generic,Boehringer Ingelheim International GmbH,"Record last updated 2015-11-25.Registration date 2015-11-06.",https://www.iana.org/domains/root/db/boehringer.html
.bofa,generic,"NMS Services, Inc.","Record last updated 2016-08-02.Registration date 2016-07-28.",https://www.iana.org/domains/root/db/bofa.html
.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,"Record last updated 2016-01-29.Registration date 2015-05-29.",https://www.iana.org/domains/root/db/bom.html
.bond,generic,Bond University Limited,"Record last updated 2015-10-24.Registration date 2014-10-30.",https://www.iana.org/domains/root/db/bond.html
.boo,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-06-12.",https://www.iana.org/domains/root/db/boo.html
.book,generic,"Amazon Registry Services, Inc.","Record last updated 2016-06-14.Registration date 2015-11-12.",https://www.iana.org/domains/root/db/book.html
