name,type,sponsoring_org,last_updated,registered,iana_url
.kiwi,generic,DOT KIWI LIMITED,2016-02-17,2013-11-25,https://www.iana.org/domains/root/db/kiwi.html
.ruhr,generic,regiodot GmbH & Co. KG,2015-07-07,2013-11-25,https://www.iana.org/domains/root/db/ruhr.html
.企业,generic,"Dash McCook, LLC",2015-06-24,2013-11-25,https://www.iana.org/domains/root/db/xn--vhquv.html
.academy,generic,"Half Oaks, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/academy.html
.buzz,generic,DOTSTRATEGY CO.,2015-08-17,2013-12-12,https://www.iana.org/domains/root/db/buzz.html
.cab,generic,"Half Sunset, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/cab.html
.camp,generic,"Delta Dynamite, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/camp.html
.careers,generic,"Wild Corner, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/careers.html
.center,generic,"Tin Mill, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/center.html
.company,generic,"Silver Avenue, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/company.html
.computer,generic,"Pine Mill, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/computer.html
.domains,generic,"Sugar Cross, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/domains.html
.limo,generic,"Hidden Frostbite, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/limo.html
.management,generic,"John Goodbye, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/management.html
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2013-12-28,2013-12-12,https://www.iana.org/domains/root/db/onl.html
.photos,generic,"Sea Corner, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/photos.html
.recipes,generic,"Grand Island, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/recipes.html
.shoes,generic,"Binky Galley, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/shoes.html
.support,generic,"Grand Orchard, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/support.html
.systems,generic,"Dash Cypress, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/systems.html
.viajes,generic,"Black Madison, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/viajes.html
.wang,generic,Zodiac Registry Limited,2014-06-19,2013-12-12,https://www.iana.org/domains/root/db/wang.html
.wed,generic,"Atgron, Inc.",2015-01-30,2013-12-12,https://www.iana.org/domains/root/db/wed.html
.集团,generic,Eagle Horizon Limited,2016-03-17,2013-12-12,https://www.iana.org/domains/root/db/xn--3bst00m.html
.公益,generic,China Organizational Name Administration Center,2013-12-17,2013-12-12,https://www.iana.org/domains/root/db/xn--55qw42g.html
.我爱你,generic,Tycoon Treasure Limited,2016-03-25,2013-12-12,https://www.iana.org/domains/root/db/xn--6qq986b3xl.html
.삼성,generic,"SAMSUNG SDS CO., LTD",2015-12-09,2013-12-12,https://www.iana.org/domains/root/db/xn--cg4bki.html
.政务,generic,China Organizational Name Administration Center,2013-12-17,2013-12-12,https://www.iana.org/domains/root/db/xn--zfr164b.html
.berlin,generic,dotBERLIN GmbH & Co. KG,2016-01-21,2013-12-19,https://www.iana.org/domains/root/db/berlin.html
.builders,generic,"Atomic Madison, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/builders.html
.ceo,generic,CEOTLD Pty Ltd,2014-04-08,2013-12-19,https://www.iana.org/domains/root/db/ceo.html
.codes,generic,"Puff Willow, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/codes.html
.coffee,generic,"Trixy Cover, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/coffee.html
.education,generic,"Brice Way, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/education.html
.email,generic,"Spring Madison, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/email.html
.farm,generic,"Just Maple, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/farm.html
.florist,generic,"Half Cypress, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/florist.html
.glass,generic,"Black Cover, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/glass.html
.holiday,generic,"Goose Woods, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/holiday.html
.house,generic,"Sugar Park, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/house.html
.immobilien,generic,United TLD Holdco Ltd.,2015-06-11,2013-12-19,https://www.iana.org/domains/root/db/immobilien.html
.institute,generic,"Outer Maple, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/institute.html
.international,generic,"Wild Way, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/international.html
.kaufen,generic,United TLD Holdco Ltd.,2015-06-11,2013-12-19,https://www.iana.org/domains/root/db/kaufen.html
.kim,generic,Afilias Limited,2014-01-23,2013-12-19,https://www.iana.org/domains/root/db/kim.html
.ninja,generic,United TLD Holdco Ltd.,2015-06-11,2013-12-19,https://www.iana.org/domains/root/db/ninja.html
.pink,generic,Afilias Limited,2014-01-18,2013-12-19,https://www.iana.org/domains/root/db/pink.html
.repair,generic,"Lone Sunset, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/repair.html
.solar,generic,"Ruby Town, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/solar.html
.solutions,generic,"Silver Cover, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/solutions.html
.training,generic,"Wild Willow, LLC",2015-06-29,2013-12-19,https://www.iana.org/domains/root/db/training.html
.wien,generic,punkt.wien GmbH,2016-01-21,2013-12-19,https://www.iana.org/domains/root/db/wien.html
.在线,generic,TLD REGISTRY LIMITED,2016-06-30,2013-12-19,https://www.iana.org/domains/root/db/xn--3ds443g.html
.中文网,generic,TLD REGISTRY LIMITED,2016-06-30,2013-12-19,https://www.iana.org/domains/root/db/xn--fiq228c5hs.html
.agency,generic,"Steel Falls, LLC",2015-06-29,2014-01-09,https://www.iana.org/domains/root/db/agency.html
.build,generic,Plan Bee LLC,2014-02-09,2014-01-09,https://www.iana.org/domains/root/db/build.html
.cheap,generic,"Sand Cover, LLC",2015-06-29,2014-01-09,https://www.iana.org/domains/root/db/cheap.html
.club,generic,".CLUB DOMAINS, LLC",2014-04-08,2014-01-09,https://www.iana.org/domains/root/db/club.html
.dance,generic,United TLD Holdco Ltd.,2015-06-11,2014-01-09,https://www.iana.org/domains/root/db/dance.html
.democrat,generic,United TLD Holdco Ltd.,2015-06-11,2014-01-09,https://www.iana.org/domains/root/db/democrat.html
.gift,generic,"Uniregistry, Corp.",2015-09-09,2014-01-09,https://www.iana.org/domains/root/db/gift.html
.guitars,generic,"Uniregistry, Corp.",2015-09-09,2014-01-09,https://www.iana.org/domains/root/db/guitars.html
.link,generic,"Uniregistry, Corp.",2015-09-09,2014-01-09,https://www.iana.org/domains/root/db/link.html
.luxury,generic,Luxury Partners LLC,2014-02-20,2014-01-09,https://www.iana.org/domains/root/db/luxury.html
.marketing,generic,"Fern Pass, LLC",2015-06-29,2014-01-09,https://www.iana.org/domains/root/db/marketing.html
.moda,generic,United TLD Holdco Ltd.,2015-06-11,2014-01-09,https://www.iana.org/domains/root/db/moda.html
.monash,generic,Monash University,2014-02-25,2014-01-09,https://www.iana.org/domains/root/db/monash.html
.pics,generic,"Uniregistry, Corp.",2015-09-09,2014-01-09,https://www.iana.org/domains/root/db/pics.html
.qpon,generic,"dotCOOL, Inc.",2015-08-20,2014-01-09,https://www.iana.org/domains/root/db/qpon.html
